aspect,level,key_behaviour
Keandalan & Operasional Sistem,1,Menjalankan prosedur penanganan gangguan yang sudah tertulis
Keandalan & Operasional Sistem,1,Melaporkan gangguan dengan keterangan yang cukup untuk ditindaklanjuti
Keandalan & Operasional Sistem,2,Menangani gangguan rutin tanpa eskalasi
Keandalan & Operasional Sistem,2,Menyiapkan peringatan dini untuk layanan yang jadi tanggung jawabnya
Keandalan & Operasional Sistem,2,Menulis catatan pasca-gangguan yang runtut
Keandalan & Operasional Sistem,3,Memimpin penanganan gangguan yang menyentuh banyak layanan
Keandalan & Operasional Sistem,3,Menelusuri akar masalah sampai ke penyebab sebenarnya
Keandalan & Operasional Sistem,3,Mengubah sistem supaya gangguan serupa tidak terulang
Keandalan & Operasional Sistem,4,Menyusun target keandalan beserta cara mengukurnya
Keandalan & Operasional Sistem,4,Merancang kesiapan sistem menghadapi lonjakan beban
Keandalan & Operasional Sistem,4,Menilai kesiapan operasional sebelum layanan baru dirilis
Keandalan & Operasional Sistem,5,Menetapkan budaya keandalan yang dianut seluruh tim teknologi
Keandalan & Operasional Sistem,5,Menyeimbangkan kecepatan rilis dengan risiko gangguan di tingkat organisasi
Keandalan & Operasional Sistem,5,Membangun kemampuan tim lain dalam menangani gangguan
Keamanan Informasi,1,Mengikuti ketentuan keamanan dasar dalam pekerjaan sehari-hari
Keamanan Informasi,1,Mengenali data yang bersifat rahasia dan memperlakukannya semestinya
Keamanan Informasi,1,Melaporkan hal mencurigakan lewat jalur yang benar
Keamanan Informasi,2,Menerapkan pengendalian akses pada pekerjaan yang dibuatnya
Keamanan Informasi,2,Mengenali celah keamanan yang umum pada kode atau konfigurasi
Keamanan Informasi,2,Memakai perkakas pemindai keamanan yang disediakan
Keamanan Informasi,3,Menilai risiko keamanan sebuah rancangan sebelum dibangun
Keamanan Informasi,3,Menutup celah yang ditemukan beserta pengujian pembuktiannya
Keamanan Informasi,3,Menjelaskan risiko keamanan dengan bahasa yang dipahami non-teknis
Keamanan Informasi,4,Menyusun standar keamanan untuk satu ranah sistem
Keamanan Informasi,4,Merancang tanggapan atas insiden keamanan
Keamanan Informasi,4,Menilai kepatuhan pihak ketiga yang terhubung ke sistem
Keamanan Informasi,5,Menetapkan arah keamanan informasi tingkat organisasi
Keamanan Informasi,5,Menyeimbangkan kebutuhan bisnis dengan risiko keamanan
Keamanan Informasi,5,Membangun kesadaran keamanan di seluruh perusahaan
Pengelolaan Data,1,Mengambil data dengan kueri sederhana sesuai permintaan
Pengelolaan Data,1,Mengenali arti kolom pada tabel yang dipakainya
Pengelolaan Data,1,Menyajikan data dalam bentuk yang mudah dibaca
Pengelolaan Data,2,Menyusun kueri gabungan lintas tabel
Pengelolaan Data,2,Memeriksa kewajaran data sebelum dipakai
Pengelolaan Data,2,Membuat alur pengolahan data yang berjalan berulang
Pengelolaan Data,3,Merancang struktur data untuk kebutuhan baru
Pengelolaan Data,3,Menelusuri sumber ketidakcocokan angka antar laporan
Pengelolaan Data,3,Menjaga alur data tetap berjalan saat sumbernya berubah
Pengelolaan Data,4,Menetapkan definisi baku untuk ukuran yang dipakai bersama
Pengelolaan Data,4,Merancang tata kelola mutu data pada satu ranah
Pengelolaan Data,4,Menilai kelayakan data untuk kebutuhan analitik lanjutan
Pengelolaan Data,5,Menetapkan arah pengelolaan data tingkat organisasi
Pengelolaan Data,5,Menjadikan data sebagai dasar keputusan lintas fungsi
Pengelolaan Data,5,Membangun kemampuan olah data di tim lain
Pelaporan & Standar Akuntansi,1,Mencatat transaksi sesuai klasifikasi yang berlaku
Pelaporan & Standar Akuntansi,1,Menyiapkan berkas pendukung yang lengkap
Pelaporan & Standar Akuntansi,1,Mengikuti tenggat pelaporan yang ditetapkan
Pelaporan & Standar Akuntansi,2,Menyusun rekonsiliasi akun secara mandiri
Pelaporan & Standar Akuntansi,2,Menemukan selisih pencatatan dan menelusurinya
Pelaporan & Standar Akuntansi,2,Menyiapkan bagian laporan berkala tanpa didampingi
Pelaporan & Standar Akuntansi,3,Menyusun laporan keuangan utuh untuk satu periode
Pelaporan & Standar Akuntansi,3,Menerapkan standar akuntansi pada transaksi yang tidak lazim
Pelaporan & Standar Akuntansi,3,Menjelaskan isi laporan kepada pihak non-keuangan
Pelaporan & Standar Akuntansi,4,Menilai dampak perubahan standar terhadap pelaporan perusahaan
Pelaporan & Standar Akuntansi,4,Menyusun kebijakan akuntansi internal
Pelaporan & Standar Akuntansi,4,Memimpin proses tutup buku lintas unit
Pelaporan & Standar Akuntansi,5,Menetapkan kerangka pelaporan keuangan perusahaan
Pelaporan & Standar Akuntansi,5,Menjadi rujukan penafsiran standar bagi seluruh unit
Pelaporan & Standar Akuntansi,5,Menjaga kepercayaan auditor dan pemangku kepentingan luar
Analisis & Perencanaan Keuangan,1,Menghimpun data realisasi anggaran
Analisis & Perencanaan Keuangan,1,Menghitung selisih anggaran terhadap rencana
Analisis & Perencanaan Keuangan,1,Menyajikan angka dalam format yang diminta
Analisis & Perencanaan Keuangan,2,Menjelaskan penyebab selisih anggaran
Analisis & Perencanaan Keuangan,2,Menyusun proyeksi sederhana berdasarkan tren
Analisis & Perencanaan Keuangan,2,Menyiapkan bahan rapat anggaran unit
Analisis & Perencanaan Keuangan,3,Menyusun model keuangan untuk satu inisiatif
Analisis & Perencanaan Keuangan,3,Menilai kelayakan belanja modal beserta asumsinya
Analisis & Perencanaan Keuangan,3,Menyusun anggaran satu unit secara utuh
Analisis & Perencanaan Keuangan,4,Menyusun rencana keuangan lintas unit
Analisis & Perencanaan Keuangan,4,Menguji ketahanan rencana lewat beberapa skenario
Analisis & Perencanaan Keuangan,4,Mengarahkan alokasi sumber daya berdasarkan hasil analisis
Analisis & Perencanaan Keuangan,5,Menetapkan arah perencanaan keuangan perusahaan
Analisis & Perencanaan Keuangan,5,Menjadi mitra pikir direksi dalam keputusan besar
Analisis & Perencanaan Keuangan,5,Menghubungkan rencana keuangan dengan strategi jangka panjang
Pengendalian & Kepatuhan,1,Menjalankan prosedur pengendalian yang sudah ditetapkan
Pengendalian & Kepatuhan,1,Menyiapkan dokumen kepatuhan yang diminta
Pengendalian & Kepatuhan,1,Mengenali kewajiban pajak yang rutin
Pengendalian & Kepatuhan,2,Memeriksa kelengkapan bukti sesuai ketentuan
Pengendalian & Kepatuhan,2,Menghitung kewajiban pajak berkala
Pengendalian & Kepatuhan,2,Melaporkan penyimpangan prosedur yang ditemuinya
Pengendalian & Kepatuhan,3,Menilai kecukupan pengendalian pada satu proses
Pengendalian & Kepatuhan,3,Menangani pemeriksaan dari pihak luar
Pengendalian & Kepatuhan,3,Menutup temuan audit beserta perbaikan prosesnya
Pengendalian & Kepatuhan,4,Merancang pengendalian internal untuk proses baru
Pengendalian & Kepatuhan,4,Menilai risiko kepatuhan pada rencana bisnis
Pengendalian & Kepatuhan,4,Menyusun kebijakan perpajakan perusahaan
Pengendalian & Kepatuhan,5,Menetapkan kerangka pengendalian dan kepatuhan perusahaan
Pengendalian & Kepatuhan,5,Menyeimbangkan kelincahan bisnis dengan risiko kepatuhan
Pengendalian & Kepatuhan,5,Menjaga hubungan dengan otoritas dan auditor
Perbaikan Proses,1,Menjalankan proses kerja sesuai prosedur
Perbaikan Proses,1,Mencatat hambatan yang ditemui saat bekerja
Perbaikan Proses,1,Mengenali langkah kerja yang jadi tanggung jawabnya
Perbaikan Proses,2,Memetakan alur kerja satu proses
Perbaikan Proses,2,Mengusulkan perbaikan kecil dari pengalaman lapangan
Perbaikan Proses,2,Mengukur waktu dan hasil satu proses
Perbaikan Proses,3,Menemukan akar pemborosan pada proses berjalan
Perbaikan Proses,3,Merancang perbaikan proses beserta cara mengukurnya
Perbaikan Proses,3,Menjalankan uji coba perbaikan pada lingkup terbatas
Perbaikan Proses,4,Merancang ulang proses lintas unit
Perbaikan Proses,4,Menilai dampak perubahan proses terhadap mutu dan biaya
Perbaikan Proses,4,Menjadikan perbaikan bertahan lewat standar baru
Perbaikan Proses,5,Menetapkan arah keunggulan operasional perusahaan
Perbaikan Proses,5,Membangun kebiasaan perbaikan berkelanjutan di seluruh unit
Perbaikan Proses,5,Menyeimbangkan efisiensi dengan mutu layanan di tingkat organisasi
Kendali Mutu,1,Memeriksa hasil kerja terhadap daftar periksa yang ada
Kendali Mutu,1,Mencatat temuan ketidaksesuaian
Kendali Mutu,1,Mengikuti prosedur penanganan produk cacat
Kendali Mutu,2,Menilai mutu dengan ukuran yang ditetapkan
Kendali Mutu,2,Menelusuri penyebab langsung ketidaksesuaian
Kendali Mutu,2,Menyiapkan laporan mutu berkala
Kendali Mutu,3,Menganalisis pola ketidaksesuaian yang berulang
Kendali Mutu,3,Menyusun tindakan perbaikan beserta pemantauannya
Kendali Mutu,3,Melatih rekan menerapkan standar mutu
Kendali Mutu,4,Menyusun standar mutu untuk satu lini kerja
Kendali Mutu,4,Menilai kesiapan mutu sebelum layanan diluncurkan
Kendali Mutu,4,Menghubungkan data mutu dengan keputusan operasional
Kendali Mutu,5,Menetapkan sistem mutu tingkat perusahaan
Kendali Mutu,5,Menjadikan mutu sebagai ukuran kinerja lintas unit
Kendali Mutu,5,Mewakili perusahaan dalam sertifikasi dan audit mutu
Manajemen Rantai Pasok,1,Mencatat penerimaan dan pengeluaran barang dengan tertib
Manajemen Rantai Pasok,1,Menyiapkan dokumen pengadaan rutin
Manajemen Rantai Pasok,1,Memantau tingkat persediaan terhadap batas yang ditetapkan
Manajemen Rantai Pasok,2,Menyusun rencana kebutuhan berdasarkan permintaan
Manajemen Rantai Pasok,2,Membandingkan penawaran pemasok pada kriteria yang jelas
Manajemen Rantai Pasok,2,Menangani keterlambatan pasokan dengan prosedur yang ada
Manajemen Rantai Pasok,3,Menegosiasikan syarat dengan pemasok
Manajemen Rantai Pasok,3,Menilai kinerja pemasok berdasarkan data
Manajemen Rantai Pasok,3,Menyeimbangkan biaya persediaan dengan risiko kekosongan
Manajemen Rantai Pasok,4,Merancang strategi pasokan untuk satu kategori
Manajemen Rantai Pasok,4,Menyiapkan rencana cadangan atas risiko pasokan
Manajemen Rantai Pasok,4,Menyusun kemitraan jangka panjang dengan pemasok utama
Manajemen Rantai Pasok,5,Menetapkan arah rantai pasok perusahaan
Manajemen Rantai Pasok,5,Menilai risiko rantai pasok tingkat organisasi
Manajemen Rantai Pasok,5,Menghubungkan keputusan pasokan dengan strategi bisnis
Rekrutmen & Seleksi,1,Memasang lowongan sesuai ketentuan yang berlaku
Rekrutmen & Seleksi,1,Menyaring lamaran terhadap syarat minimum
Rekrutmen & Seleksi,1,Mengatur jadwal wawancara dengan tertib
Rekrutmen & Seleksi,2,Mencari kandidat aktif lewat beberapa kanal
Rekrutmen & Seleksi,2,Melakukan wawancara awal dengan panduan yang ada
Rekrutmen & Seleksi,2,Menyiapkan ringkasan kandidat yang berguna bagi pengguna
Rekrutmen & Seleksi,3,Menggali bukti perilaku lewat wawancara terstruktur
Rekrutmen & Seleksi,3,Menilai kecocokan kandidat dengan kebutuhan jabatan
Rekrutmen & Seleksi,3,Meyakinkan kandidat yang diincar untuk bergabung
Rekrutmen & Seleksi,4,Merancang proses seleksi untuk jabatan yang sulit diisi
Rekrutmen & Seleksi,4,Menilai mutu proses rekrutmen lewat data
Rekrutmen & Seleksi,4,Membangun jalur kandidat sebelum kebutuhan muncul
Rekrutmen & Seleksi,5,Menetapkan strategi pemenuhan talenta perusahaan
Rekrutmen & Seleksi,5,Membangun citra perusahaan sebagai tempat kerja pilihan
Rekrutmen & Seleksi,5,Mengembangkan kemampuan mewawancara di seluruh jajaran
Pengembangan Talenta,1,Menjalankan program pengembangan yang sudah dirancang
Pengembangan Talenta,1,Mencatat kehadiran dan hasil pelatihan
Pengembangan Talenta,1,Mengumpulkan masukan peserta
Pengembangan Talenta,2,Mengenali kebutuhan pengembangan dari hasil penilaian
Pengembangan Talenta,2,Menyiapkan materi pengembangan untuk kebutuhan sederhana
Pengembangan Talenta,2,Mendampingi karyawan menyusun rencana pengembangan diri
Pengembangan Talenta,3,Merancang program pengembangan untuk satu kelompok jabatan
Pengembangan Talenta,3,Mengukur dampak program terhadap kinerja
Pengembangan Talenta,3,Memfasilitasi pembahasan talenta bersama atasan unit
Pengembangan Talenta,4,Menyusun peta talenta dan rencana suksesi satu unit
Pengembangan Talenta,4,Merancang jalur karier antar jabatan
Pengembangan Talenta,4,Menilai kesiapan calon penerus jabatan kunci
Pengembangan Talenta,5,Menetapkan arah pengembangan talenta perusahaan
Pengembangan Talenta,5,Menjaga ketersediaan penerus untuk jabatan kunci
Pengembangan Talenta,5,Menjadikan pengembangan bagian dari cara kerja para pemimpin
Manajemen Kinerja & Remunerasi,1,Menjalankan siklus penilaian sesuai jadwal
Manajemen Kinerja & Remunerasi,1,Menghimpun data kinerja dari unit
Manajemen Kinerja & Remunerasi,1,Menyiapkan administrasi imbalan dengan teliti
Manajemen Kinerja & Remunerasi,2,Menjelaskan mekanisme penilaian kepada karyawan
Manajemen Kinerja & Remunerasi,2,Memeriksa kewajaran sasaran kerja yang disusun unit
Manajemen Kinerja & Remunerasi,2,Menghitung komponen imbalan sesuai kebijakan
Manajemen Kinerja & Remunerasi,3,Mendampingi atasan menyusun sasaran yang terukur
Manajemen Kinerja & Remunerasi,3,Menengahi perbedaan pandangan atas hasil penilaian
Manajemen Kinerja & Remunerasi,3,Membandingkan imbalan perusahaan dengan pasar
Manajemen Kinerja & Remunerasi,4,Merancang kebijakan penilaian kinerja satu ranah
Manajemen Kinerja & Remunerasi,4,Menyusun struktur imbalan untuk kelompok jabatan
Manajemen Kinerja & Remunerasi,4,Menilai keterkaitan kinerja dengan imbalan lewat data
Manajemen Kinerja & Remunerasi,5,Menetapkan kerangka kinerja dan imbalan perusahaan
Manajemen Kinerja & Remunerasi,5,Menjaga keadilan internal sekaligus daya saing eksternal
Manajemen Kinerja & Remunerasi,5,Mengarahkan perubahan budaya kinerja di seluruh organisasi
Analisis Strategis,1,Menghimpun data pasar dan pesaing dari sumber yang tersedia
Analisis Strategis,1,Merangkum temuan dalam format yang diminta
Analisis Strategis,1,Mengenali istilah dan ukuran yang dipakai di industrinya
Analisis Strategis,2,Membandingkan posisi perusahaan terhadap pesaing utama
Analisis Strategis,2,Menyusun analisis sederhana beserta sumbernya
Analisis Strategis,2,Menandai perubahan pasar yang perlu diperhatikan
Analisis Strategis,3,Menyusun pilihan strategis beserta konsekuensinya
Analisis Strategis,3,Menguji asumsi yang mendasari sebuah rencana
Analisis Strategis,3,Menyajikan analisis kepada pengambil keputusan
Analisis Strategis,4,Menyusun skenario jangka menengah beserta pemicunya
Analisis Strategis,4,Menilai peluang masuk ke ranah baru
Analisis Strategis,4,Menghubungkan analisis dengan alokasi sumber daya
Analisis Strategis,5,Menetapkan arah strategis perusahaan bersama direksi
Analisis Strategis,5,Menjaga strategi tetap relevan saat lanskap berubah
Analisis Strategis,5,Membangun cara berpikir strategis di jajaran pemimpin
Tata Kelola & Manajemen Risiko,1,Mengikuti mekanisme persetujuan yang berlaku
Tata Kelola & Manajemen Risiko,1,Menyiapkan dokumen tata kelola yang diminta
Tata Kelola & Manajemen Risiko,1,Mencatat risiko yang ditemui dalam pekerjaannya
Tata Kelola & Manajemen Risiko,2,Menjelaskan mekanisme tata kelola kepada rekan kerja
Tata Kelola & Manajemen Risiko,2,Menilai risiko satu kegiatan dengan panduan yang ada
Tata Kelola & Manajemen Risiko,2,Memantau tindak lanjut atas risiko yang tercatat
Tata Kelola & Manajemen Risiko,3,Menyusun peta risiko satu ranah beserta mitigasinya
Tata Kelola & Manajemen Risiko,3,Menilai kepatuhan proses terhadap kebijakan
Tata Kelola & Manajemen Risiko,3,Menyiapkan bahan keputusan bagi forum tata kelola
Tata Kelola & Manajemen Risiko,4,Merancang kebijakan tata kelola untuk kebutuhan baru
Tata Kelola & Manajemen Risiko,4,Menilai risiko rencana strategis sebelum diputuskan
Tata Kelola & Manajemen Risiko,4,Menyeimbangkan pengendalian dengan kecepatan bisnis
Tata Kelola & Manajemen Risiko,5,Menetapkan kerangka tata kelola dan risiko perusahaan
Tata Kelola & Manajemen Risiko,5,Menjaga akuntabilitas keputusan di seluruh jajaran
Tata Kelola & Manajemen Risiko,5,Mewakili perusahaan di hadapan regulator dan pemegang saham
Strategi Merek & Komunikasi,1,Menerapkan panduan merek pada materi yang dibuatnya
Strategi Merek & Komunikasi,1,Menyiapkan materi komunikasi sesuai arahan
Strategi Merek & Komunikasi,1,Mengenali pesan utama merek perusahaan
Strategi Merek & Komunikasi,2,Menyusun materi komunikasi untuk satu kanal
Strategi Merek & Komunikasi,2,Menjaga konsistensi nada dan tampilan antar materi
Strategi Merek & Komunikasi,2,Menyesuaikan pesan dengan khalayak yang dituju
Strategi Merek & Komunikasi,3,Menyusun narasi kampanye beserta alasan di baliknya
Strategi Merek & Komunikasi,3,Menilai efektivitas pesan lewat tanggapan khalayak
Strategi Merek & Komunikasi,3,Mengarahkan mitra kreatif agar hasilnya sesuai maksud
Strategi Merek & Komunikasi,4,Menyusun posisi merek untuk satu lini produk
Strategi Merek & Komunikasi,4,Merancang kampanye lintas kanal beserta ukurannya
Strategi Merek & Komunikasi,4,Menjaga merek saat menghadapi situasi sulit
Strategi Merek & Komunikasi,5,Menetapkan arah merek perusahaan
Strategi Merek & Komunikasi,5,Menjaga kesatuan merek di seluruh unit dan mitra
Strategi Merek & Komunikasi,5,Menghubungkan kekuatan merek dengan hasil bisnis
Pemasaran Digital & Analitik,1,Menjalankan kegiatan kanal digital sesuai rencana
Pemasaran Digital & Analitik,1,Menyiapkan materi sesuai ketentuan tiap kanal
Pemasaran Digital & Analitik,1,Membaca laporan kinerja dasar kanal
Pemasaran Digital & Analitik,2,Menyiapkan dan menayangkan kampanye berbayar sederhana
Pemasaran Digital & Analitik,2,Memantau ukuran kinerja harian dan menandai kejanggalan
Pemasaran Digital & Analitik,2,Menyusun laporan kinerja berkala
Pemasaran Digital & Analitik,3,Menganalisis kinerja kampanye sampai ke tingkat konversi
Pemasaran Digital & Analitik,3,Menjalankan uji pembanding untuk memperbaiki hasil
Pemasaran Digital & Analitik,3,Menyesuaikan alokasi belanja berdasarkan data
Pemasaran Digital & Analitik,4,Merancang bauran kanal untuk sasaran pertumbuhan
Pemasaran Digital & Analitik,4,Menyusun model pengukuran dampak pemasaran
Pemasaran Digital & Analitik,4,Menilai kelayakan kanal baru sebelum digarap
Pemasaran Digital & Analitik,5,Menetapkan strategi pemasaran digital perusahaan
Pemasaran Digital & Analitik,5,Menghubungkan investasi pemasaran dengan pendapatan
Pemasaran Digital & Analitik,5,Membangun kemampuan analitik pemasaran di tim
Riset Pasar & Wawasan Pelanggan,1,Menghimpun data pelanggan dari sumber yang tersedia
Riset Pasar & Wawasan Pelanggan,1,Menyiapkan kuesioner sederhana sesuai arahan
Riset Pasar & Wawasan Pelanggan,1,Merangkum hasil pengumpulan data
Riset Pasar & Wawasan Pelanggan,2,Menjalankan wawancara pelanggan dengan panduan
Riset Pasar & Wawasan Pelanggan,2,Mengolah hasil survei jadi temuan yang terbaca
Riset Pasar & Wawasan Pelanggan,2,Mengenali pola keluhan dan permintaan yang berulang
Riset Pasar & Wawasan Pelanggan,3,Merancang riset untuk menjawab pertanyaan bisnis tertentu
Riset Pasar & Wawasan Pelanggan,3,Menerjemahkan temuan riset jadi usulan tindakan
Riset Pasar & Wawasan Pelanggan,3,Menguji dugaan tentang pelanggan lewat data
Riset Pasar & Wawasan Pelanggan,4,Menyusun segmentasi pelanggan beserta implikasinya
Riset Pasar & Wawasan Pelanggan,4,Menilai peluang produk baru dari sisi kebutuhan pasar
Riset Pasar & Wawasan Pelanggan,4,Menghubungkan wawasan pelanggan dengan keputusan produk
Riset Pasar & Wawasan Pelanggan,5,Menetapkan agenda riset pasar perusahaan
Riset Pasar & Wawasan Pelanggan,5,Menjadikan wawasan pelanggan dasar keputusan lintas fungsi
Riset Pasar & Wawasan Pelanggan,5,Membangun kebiasaan mendengarkan pelanggan di seluruh tim
